iteracion,altura
0,500
1,500
2,500
3,500
4,500
5,500
6,500
7,500
8,500
9,500
10,500
11,500
12,500
13,500
14,500
15,500
16,500
17,500
18,500
19,500
20,500
21,500
22,500
23,500
24,500
25,500
26,500
27,500
28,500
29,500
30,500
31,500
32,500
33,500
34,500
35,500
36,500
37,500
38,500
39,500
40,500
41,500
42,499
43,499
44,499
45,499
46,498
47,498
48,498
49,498
50,498
51,498
52,498
53,498
54,498
55,498
56,498
57,497
58,497
59,496
60,496
61,496
62,496
63,496
64,496
65,496
66,496
67,495
68,495
69,494
70,494
71,494
72,493
73,493
74,493
75,493
76,493
77,493
78,493
79,493
80,493
81,493
82,493
83,492
84,492
85,492
86,492
87,492
88,492
89,492
90,492
91,492
92,492
93,492
94,492
95,492
96,493
97,493
98,493
99,493
100,493
101,493
102,493
103,492
104,492
105,492
106,492
107,492
108,492
109,492
110,492
111,492
112,492
113,492
114,492
115,492
116,492
117,492
118,492
119,492
120,492
121,492
122,492
123,492
124,492
125,491
126,491
127,491
128,490
129,489
130,489
131,489
132,489
133,489
134,489
135,489
136,489
137,489
138,489
139,489
140,489
141,489
142,488
143,488
144,488
145,488
146,487
147,487
148,487
149,487
